Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2fP2HkRnFfX3p3VbSg6KqW,"STREET FIGHTER","STREET FIGHTER","FXRR",2022-07-08,149334,34,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:31:37Z,"phonk,drift phonk","FXRR",0.648,0.893,5,-0.915,0,0.194,0.00176,0,0.652,0.665,179.993,4
spotify:track:0G7qyvqwjfMdHZn4RwiAdf,"Tarantula - Original Mix","Hold Your Colour","Pendulum;Tenor Fly;MC Spyda;DJ Fresh",2007-05-19,331240,60,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:32:36Z,"drum and bass,dubstep,jungle,ragga,bassline","Breakbeat Kaos",0.515,0.899,7,-5.115,1,0.0602,0.000122,0.0795,0.367,0.267,174.028,4
spotify:track:5wqlRFdpJ1a4kMIBSWeCnN,"Voodoo People - Pendulum Mix","Voodoo People / Out of Space","The Prodigy;Pendulum",2005-10-03,307813,62,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:32:37Z,"big beat,breakbeat,hardcore techno,drum and bass,dubstep","XL Recordings",0.443,0.96,1,-5.481,1,0.0661,0.000127,0.875,0.194,0.533,174.011,4
spotify:track:4Y2glvLjQGOb4dXnwm1hQf,"Witchcraft","Immersion","Pendulum",2010-05-21,252786,62,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:32:38Z,"drum and bass,dubstep","WM UK",0.42,0.969,1,-3.139,1,0.0581,0.0000284,0.00861,0.379,0.182,174.038,4
spotify:track:5EYmCZ7F6sA7fVhNhkAMf1,"Vex","Vex","Bensley",2020-09-24,235172,36,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:32:40Z,"drum and bass,liquid funk","Monstercat",0.32,0.983,2,-1.224,1,0.0519,0.0000377,0.832,0.0888,0.0467,173.97,4
spotify:track:2DZe6IQX5WIhTgr2q5Mu3w,"I Swirl","242 mph","Ruzer",2021-08-27,194262,23,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:32:41Z,"drum and bass","Epidemic Electronic",0.49,0.837,0,-6.653,1,0.0604,0.00801,0.826,0.149,0.174,174.003,4
spotify:track:5vXcsf438dLvZxXR3SYX9S,"STREET FIGHTER II","STREET FIGHTER II","FXRR",2022-08-05,133825,30,true,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:32:45Z,"phonk,drift phonk","FXRR.",0.253,0.982,11,-1.44,1,0.0956,0.0013,0,0.549,0.335,179.834,4
spotify:track:3okcBYUuR2VRbygL9kYb5k,"Drops - Kanine Remix","Drops Remixes","Darkzy;Example;Kanine",2019-06-07,262628,1,true,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:33:17Z,"bassline,drum and bass,bass house,liquid funk","Crucast",0.649,0.849,1,-3.254,1,0.366,0.00174,0.00165,0.131,0.0946,174.785,4
spotify:track:5K9xqmCCLkdtZv7E4CytzI,"Love","Love","Subsonic",2019-05-10,232500,0,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:34:55Z,"drum and bass,bassline","Crucast",0.808,0.932,0,0.72,1,0.329,0.0296,0.00494,0.166,0.404,128.011,4
spotify:track:7GTrIRmjum3UMSPtZL21LB,"Black Widow","Liondub Street Series, Vol. 11: Black Widow","Macky Gee",2015-04-06,268628,48,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:35:12Z,"drum and bass,bassline,bass house","Liondub International",0.907,0.961,6,0.839,1,0.05,0.0519,0.291,0.0683,0.969,87.516,4
spotify:track:1VO8LC2PyM13d1LxE6KLSc,"Put It On Me (feat. Mila Falls)","Put It On Me (feat. Mila Falls)","Holy Goof;NOTION;Mila Falls",2020-09-18,190348,43,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:35:18Z,"bassline,bass house,drum and bass,britský garage","Spinnin' Records",0.748,0.583,9,-5.673,1,0.0556,0.00684,0,0.433,0.374,129.063,4
spotify:track:6ZjF7ecMawDKpbMTfo5p46,"Bruises","Bruises (Destinations)","Fox Stevenson",2018-08-15,220732,53,true,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:35:24Z,"drum and bass,dubstep,drumstep","Pilot.",0.458,0.854,11,-3.08,1,0.0786,0.00039,0.0000145,0.6,0.356,174.088,4
spotify:track:3tn4oVzRTGm3bKMEvzCj17,"Amethyst","Amethyst","Art1fact",2023-05-19,212413,4,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:35:36Z,"drum and bass","Art1fact Music",0.723,0.951,8,-1.663,0,0.114,0.00193,0.771,0.618,0.0671,173.984,4
spotify:track:0Ja4hLKiUSw01E01pJ1yGr,"Breathe","The Fat of the Land","The Prodigy",1997-06-30,336280,68,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:35:42Z,"big beat,breakbeat,hardcore techno","XL Recordings",0.673,0.808,9,-6.183,1,0.0491,0.0121,0.878,0.037,0.303,130.041,4
spotify:track:7DCdoJx9mCpdxcyk5CtbBM,"Ready To Fly","Evolve","Sub Focus;Dimension",2023-05-12,205480,61,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:35:49Z,"drum and bass,liquid funk","EMI",0.481,0.97,8,-0.386,0,0.0542,0.0374,0.397,0.189,0.371,173.969,4
spotify:track:467sWjgD8wt6v7QuHO9t96,"Carbon Flare","Carbon Flare","TS7",2018-08-10,259453,34,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:36:44Z,"bassline,drum and bass,bass house,britský garage","TS7",0.872,0.944,10,-4.224,0,0.234,0.0275,0.000151,0.685,0.535,130.017,4
spotify:track:2Zd9ICFhHeQzWRd3kUKYJF,"Lumberjack","Lumberjack","Serum",2018-06-14,291235,0,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:36:57Z,"drum and bass,jungle,bassline","Souped Up Records",0.804,0.818,4,-0.49,0,0.0603,0.0131,0.692,0.124,0.439,89.007,4
spotify:track:6xylQub9EOn4H0et2wE2rD,"Take Me Back","Take Me Back","Tsuki;Aleya Mae",2021-07-30,207964,0,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:37:22Z,"drum and bass,bassline,bass house,liquid funk","Crucast",0.321,0.946,4,-2.432,0,0.469,0.104,0.435,0.0759,0.129,175.768,4
spotify:track:6nnt2dTOUnXGTlNeoAUpK1,"Over","Over","Tsuki",2019-06-21,237168,1,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:37:31Z,"drum and bass,bassline,bass house","Crucast",0.764,0.922,6,-0.872,0,0.0571,0.009,0.000182,0.11,0.805,133.943,4
spotify:track:58GJfyXvTB7zYMHN0mcGEo,"Real Raver - Tsuki Remix","Real Raver (Remixes)","TS7;Slick Don;Tsuki",2020-02-07,208250,41,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:38:17Z,"bassline,drum and bass,bass house,britský garage","TS7",0.63,0.905,11,-1.369,0,0.43,0.339,0,0.231,0.571,180.166,4
spotify:track:5aUXOZP5xQquhXMJLtcwKI,"Offender","Organ","Dimension",2021-03-05,223448,52,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:38:28Z,"drum and bass,liquid funk","Dimension",0.462,1,10,-0.024,1,0.0982,0.00351,0.804,0.295,0.274,174.004,4
spotify:track:3ze3ouuovH0xrJbll9DKWu,"Real (feat. Cecelia) - VIP Mix","Real (feat. Cecelia) [VIP Mix]","NOTION;Cecelia",2019-05-13,184687,48,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:39:41Z,"bassline,bass house,drum and bass,britský garage","Musical Freedom",0.683,0.814,4,-3.405,0,0.0368,0.00486,0,0.25,0.459,128.053,4
spotify:track:7xN6f50e0ZdiDehWaVFeZ2,"Party All the Time (feat. Kay)","Party All the Time (feat. Kay)","Darkzy;Kay",2019-11-29,266929,1,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:39:54Z,"bassline,drum and bass,bass house,latinskoamerický house","Crucast",0.684,0.606,11,-6.733,1,0.159,0.00345,0,0.512,0.0412,134.996,4
spotify:track:5IiAyeg16Rk5holAyjwpLO,"Sundown","Sundown","Kanine",2019-10-04,268800,46,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:40:01Z,"drum and bass,bassline,liquid funk","Unleashed",0.578,0.936,5,-1.838,0,0.0567,0.00599,0.0254,0.226,0.183,174.896,4
spotify:track:6fdr24Ns8PoBQ8wGwuupRr,"Moments","Moments","Macky Gee",2018-07-20,227657,45,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:40:08Z,"drum and bass,bassline,bass house","Down 2 Earth Musik",0.579,0.947,10,0.246,0,0.0434,0.224,0.147,0.0781,0.546,174.966,4
spotify:track:3QRE0rMSiI6ceS0ZOxFblB,"Want You","Want You","Kanine",2018-10-12,247210,3,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:40:13Z,"drum and bass,bassline,liquid funk","Crucast",0.55,0.984,10,-1.11,0,0.0933,0.00104,0.103,0.107,0.0584,174.976,4
spotify:track:5bHPkGeg3LbrW7eFkMEC0r,"Bad Habits","Bad Habits","Wa-Fu",2021-01-20,213715,1,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:40:43Z,"bassline,bass house,drum and bass","House Call Records",0.695,0.868,9,-4.602,1,0.0785,0.439,0.693,0.163,0.746,131.991,4
spotify:track:0v9FopnUjdazLkHb2vzcdt,"CHASE THE SUN","CHASE THE SUN","TurboKevin",2022-10-21,211288,60,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:41:20Z,"hypertechno,techno","Vertigo Berlin",0.599,0.971,9,-7.264,0,0.397,0.0271,0.0863,0.389,0.189,180.059,4
spotify:track:1emn8uOfuaO6a8jXhUJnkj,"Sunglasses at Night - Radio Edit","Sunglasses at Night","Skepta",2009-03-16,141920,38,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:42:17Z,"grime,britský grime","Boy Better Know",0.77,0.753,10,-10.075,0,0.0562,0.0623,0,0.0603,0.54,135.168,4
spotify:track:1Znrxt0huLn9CsP3ElgMWE,"Meant To Be","Meant To Be","Samstone;Jay Wall;DEEPROT",2021-12-01,199399,31,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:42:32Z,"bassline,drum and bass,bass house,britský garage","DEEPROT",0.722,0.975,4,-1.658,0,0.179,0.177,0.159,0.19,0.54,130.008,4
spotify:track:354Cv7huFJnlEdVAHvhH3Q,"Stars On The Roof (feat. MOMO)","Stars On The Roof (feat. MOMO)","Alcemist;MoMo",2023-01-20,242769,58,true,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:42:49Z,"drum and bass","DnB Allstars Records",0.657,0.861,0,-2.191,1,0.0456,0.0226,0.000194,0.644,0.357,87.485,4
spotify:track:54vA1DPHdURxxpxpPx2wmU,"RAMBO","RAMBO","Baxter",2022-10-28,343448,40,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:43:12Z,"","Baxter",0.578,0.884,9,-5.796,0,0.0652,0.127,0.000923,0.183,0.402,144.053,4
spotify:track:6phZ9iQDWrB11ZPRjNDdNS,"Go, Acid! - Used Remix","Go, Acid! (Used Remix)","Acid;Used;Joost;Apson",2022-03-24,172800,43,true,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:43:26Z,"drum and bass,gabber,europop","Albino Sports & Pikvis Records",0.673,0.982,1,-0.505,1,0.0527,0.0358,0.0000047,0.707,0.814,175.039,4
spotify:track:4KbPvG2JzC0Sdu4RtI9y9S,"Magic Carpet","Magic Carpet","Bou;MC Spyda",2020-02-17,276937,46,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:45:28Z,"drum and bass,bassline,jungle","BassLayerz Recordings",0.633,0.746,10,-4.541,1,0.104,0.151,0.00634,0.0922,0.184,87.043,4
spotify:track:3q2uX1BAjCiKmhEQiqWZTD,"Set Me Free","Set Me Free","Friction",2021-11-26,223526,48,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:47:05Z,"drum and bass,liquid funk,bassline","Elevate Records",0.376,0.969,5,-2.495,0,0.0459,0.0016,0.29,0.162,0.493,173.941,4
spotify:track:1635wWSdp29PO3GxYhy991,"Bel Mercy","Bel Mercy","Jengi",2022-12-02,169606,62,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:47:53Z,"","FFRR",0.949,0.736,1,-6.17,1,0.0992,0.401,0.736,0.137,0.708,127.016,4
spotify:track:6D1v5PAr6RKuJ8VuaS5aIO,"FLUTE","FLUTE","MONSS",2022-09-23,197489,51,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:48:16Z,"drum and bass,liquid funk","NUFORM",0.75,0.863,7,-3.208,1,0.0451,0.0402,0.593,0.162,0.192,87.513,4
spotify:track:6imZiUw4WfnffJPi6exHEp,"All Ganja Man","All Ganja Man","Serum;MC Spyda",2018-05-14,334915,46,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:48:34Z,"drum and bass,jungle,bassline","BassLayerz Recordings",0.751,0.96,1,-0.079,1,0.24,0.00799,0.00000269,0.2,0.618,177.071,4
spotify:track:39hweGrOCqq8C9gi2UybOB,"450 - 2020 Mix","Full Wack No Brakes","Bad Boy Chiller Crew;S Dog",2020-09-25,256615,34,true,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:49:20Z,"bassline","House Anxiety",0.878,0.695,6,-7.713,0,0.206,0.229,0,0.397,0.924,129.949,4
spotify:track:6r8xlPyUQG8zbXbh26duFW,"LET'S TROT!","LET'S TROT!","Brothers;Joel Fletcher",2022-03-18,188111,49,true,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:50:28Z,"aussie drill,drill,melbourne bounce,bounce","WM Australia",0.872,0.696,2,-6.898,1,0.268,0.0918,0,0.164,0.758,135.087,4
spotify:track:6RKuDa25W0ElVZamOAHriH,"Down","Bass Cracker 2","Jacko",2020-12-18,263283,31,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:50:44Z,"bassline,bass house,drum and bass","Crucast",0.955,0.766,0,-4.666,1,0.0601,0.0215,0.382,0.0806,0.164,134.013,4
spotify:track:7mWjieCRUlxjaGzyD6Ukb0,"R20","R20","Tekraw;MOPCMEH",2021-08-13,150913,0,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:54:45Z,"g-house,bassline,bass house","BASS LINE",0.893,0.727,0,-5.491,1,0.069,0.00117,0.0124,0.0522,0.682,130.041,4
spotify:track:0xfMlIW8lS40qvpsUw1l0X,"Never Going Home","Never Going Home","Kungs",2021-05-21,169944,64,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:54:48Z,"","Universal Music Division Island Def Jam",0.836,0.846,0,-4.673,1,0.0392,0.0907,0.047,0.057,0.942,122.042,4
spotify:track:1Mze7crzF9BWo82DiAsmjj,"Tour","Tour","Macky Gee",2017-09-19,289371,56,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:54:54Z,"drum and bass,bassline,bass house","Elevate Records",0.584,0.993,5,1.634,0,0.0527,0.456,0.688,0.129,0.36,175.082,4
spotify:track:5cRDn5aGMLvWsldoRmOOz0,"Solar System","Solar System / Siren","Sub Focus",2019-07-26,288000,62,false,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:54:57Z,"drum and bass,liquid funk","EMI",0.544,0.942,5,-2.552,0,0.0464,0.0355,0.435,0.631,0.303,173.97,4
spotify:track:0aUsqnfEEFwJSOkKe4OHuo,"Draw For The Draw","Moments","Macky Gee;Harry Shotta",2018-07-20,272914,0,true,0bnjquo5jylyfdzak3bkvpeht,2025-01-10T17:54:58Z,"drum and bass,bassline,bass house,jungle","Down 2 Earth Musik",0.583,0.993,1,2.781,1,0.0833,0.189,0.707,0.89,0.672,175.032,4
